Municipi;Explotador/s;Estat;Categoria;Denominació comercial;UTM(Y);Direcció;UTM (X);Inici d'activitat;Signatura;Hotel de ciutat;Excepcions ratio turístic;Superfície;Subgrup;Memoria descriptiva;Grup;Unitats;Places;Localitat;longitude;latitude
PALMA;Summum Hotel Group, S.A. (A07221419);Alta;4 estrelles;JOAN MIRO MUSEUM;4378251.62503;Carrer BARTOMEU FONS, 8. 07015 Marivent, PALMA, Mallorca;466566.784554;28/04/1964;H/1093;;;;Allotjaments;;Hotel;97;172;Marivent;2.610849991306607;39.55329568481414
CALVIÀ;ALLTOURS ESPAÑA SL (B35379841);Alta;4 estrelles;CORMORAN;4376780.09376;Carrer PUTXET, 1. 07160 Peguera, CALVIÀ, Mallorca;453048.633653;01/01/1964;H/1095;;;;Allotjaments;;Hotel;150;287;Peguera;2.453613562046668;39.53940373399017
CALVIÀ;PALMIRA CORALIAN S.L. (B16637902);Alta;4 estrelles;MAR HOTELS PAGUERA & SPA;4376552.19725;Carrer GAVINES, 19. 07160 Peguera, CALVIÀ, Mallorca;453396.892084;01/05/1964;H/1096;;;;Allotjaments;;Hotel;128;243;Peguera;2.4576821537736673;39.5373693390965
PALMA;CAN PASTILLA SA (A07169345);Alta;2 estrelles;CAN PASTILLA PLAYA;4376313.97671;ORATGE, 3. 07610 Can Pastilla, PALMA, Mallorca;475947.804374;15/04/1964;H/1099;;;;Allotjaments;;Hotel;77;144;Can Pastilla;2.7201102050535364;39.536150989918205
SANTANYÍ;ANTONIA COVAS RIGO;Alta;;COVAS;4353340.63806;GREC, 4. 07659 Cala Figuera, SANTANYÍ, Mallorca;514633.7665315;10/02/1964;H/1101;;;;Allotjaments;;Casa dhostes;24;48;Cala Figuera;3.1697871412373186;39.32935859827086
SANT LLORENÇ DES CARDASSAR;BEDS & ROOMS PLAYAMAR S.L. (B57851909);Alta;2 estrelles;PLAYA MAR;4379854.62688;ROSA DELS VENTS, 7. 07687 Illot (L), SANT LLORENÇ DES CARDASSAR, Mallorca;532022.571925;01/01/1964;H/1102;;;;Allotjaments;;Hotel;172;330;Illot (L);3.372808305400085;39.56779302041394
LLUCMAJOR;GLOBALES BED CONTRACTOR, SL (B07998792);Alta;3 estrelles;MIX HOTEL SMART;4372011.33455;Carrer MOSSEN ANTONI MARIA ALCOVER, 10. 07620 Son Verí Nou, LLUCMAJOR, Mallorca;478866.309256;14/05/1964;H/1104;;;;Allotjaments;;Hotel;30;57;Son Verí Nou;2.7542085234046203;39.49745896594456
CALVIÀ;LIDAL SL (B07098841);Alta;4 estrelles;SOLIVERA;4376763.41542;EUCALIPTUS, S/N. 07160 Peguera, CALVIÀ, Mallorca;452500.597826;10/06/1964;H/1114;;;;Allotjaments;;Hotel;161;303;Peguera;2.4472373818097153;39.539223307578794
CALVIÀ;ROSA MARÍA CABOT AMENGUAL;Alta;3 estrelles;VILLA ROSA;4376804.48169;MALGRAT, 11. 07160 Peguera, CALVIÀ, Mallorca;452690.040509;18/06/1964;H/1115;;;;Allotjaments;;Hostal;41;72;Peguera;2.449438955381333;39.53960378154506
ALCÚDIA;ELEGANCE CALMA,SL (B16518045);Alta;1 estrella;HOSTAL DIANA;4410203.25154;Carrer TEODOR CANET, 25. 07410 Port DAlcúdia, ALCÚDIA, Mallorca;511599.479807;25/11/1964;H/1118;;;;Allotjaments;;Hostal;30;56;Port DAlcúdia;3.135576962721676;39.84176083188709
CALVIÀ;NOTARIO ALEMANY 26 PROPERTIES SLU (B67082743);Alta;4 estrelles;Dreams Calvià Resorts & Spa I;4372760.54447;Carrer NOTARI ALEMANY, 12. 07181 Magaluf, CALVIÀ, Mallorca;459680.403742;04/05/1964;H/1120;;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;0;Allotjaments;;Hotel;180;342;Magaluf;2.531030379117269;39.50352375565722
CALVIÀ;REMEDIOS LILIANE MORENO DHONDT;Alta;1 estrella;BELGICA;4374708.85225;JAUME I, 25. 07181 Palmanova, CALVIÀ, Mallorca;459784.681932;01/06/1964;H/1121;;;;Allotjaments;;Hostal residència;18;29;Palmanova;2.5321254959216235;39.52108340357324
SÓLLER;HOSTAL NADAL SC (J16615205);Alta;2 estrelles;NADAL;4402065.39357;Carrer ROMAGUERA, 27. 07100 SÓLLER, Mallorca;475537.514292;28/05/1964;H/1122;;;;Allotjaments;;Hostal;26;50;Sóller;2.714382575824947;39.7681656597026
PALMA;PIXELS HOTELS, SL (B57897019);Alta;2 estrelles;BOOGALOO;4372995.68789;AMILCAR, 11. 07600 PALMA, Mallorca;478801.10893;26/05/1964;H/1123;;;;Allotjaments;;Hotel;45;90;Platja De Palma;2.753418889120123;39.50632687115684
CALVIÀ;HELIOPAL SA (A07010390);Alta;4 estrelles Superior;SON CALIU SPA OASIS;4375323.20216;SON CALIU, 8. 07181 Son Caliu, CALVIÀ, Mallorca;460815.612486;19/06/1964;H/1124;;;;Allotjaments;;Hotel;223;446;Son Caliu;2.5440830298770347;39.5266665073741
SÓLLER;RULLAN I OLIVER INVERSIONS, S.L. (B16520918);Alta;4 estrelles;LOS GERANIOS;4404558.5;DE LA PLATJA, 15. 07108 Port (El), SÓLLER, Mallorca;473528.34;28/04/1964;H/1126;;;;Allotjaments;;Hotel;26;48;Port (El);2.6908238029921616;39.79056848990684
CALVIÀ;INVERSIONES BRAVIO SA (A07123383);Alta;5 estrelles;CORONADO THALLASSO & SPA;;CALA FORNELLS,S/N, S/N. 07160 Cala Fornells, CALVIÀ, Mallorca;;01/01/1964;H/1128;;Disposició Transitòria Decret Llei 3/2014, de 5 de desembre;0;Allotjaments;;Hotel;195;380;Cala Fornells;;
SANT LLORENÇ DES CARDASSAR;ALLTOURS ESPAÑA SL (B35379841);Alta;4 estrelles Superior;BAHIA DEL ESTE;4383444.95865;LLEVANT, 4. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;531967.471236;17/07/1964;H/1132;;;;Allotjaments;;Hotel;189;347;Cala Millor;3.372339918484485;39.60014489995253
MANACOR;GESTORA SILLOT, S.L. (B57824484);Alta;3 estrelles;CLUB SILLOT;4379612.48105;CARDS, 2. 07687 LIllot-Cala Morlanda, MANACOR, Mallorca;531990.222629;07/07/1964;H/1133;;;;Allotjaments;;Hotel;55;108;LIllot-Cala Morlanda;3.3724200290404185;39.56561242451188
SANT LLORENÇ DES CARDASSAR;ANLUGA SA (A07178908);Alta;3 estrelles;DON JUAN;4385324.10097;Passatge JUAN LLINÁS, S/N. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;526209.135326;01/03/1965;H/1141;;;;Allotjaments;;Hotel;134;252;Cala Millor;3.3053452748221006;39.61727207408541
SANT LLORENÇ DES CARDASSAR;HOTEL PLAYA DEL MORO SA (A07008543);Alta;4 estrelles;PLAYA DEL MORO;4383212.8912;Carrer ALOSA, S/N. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;532873.564723;01/04/1964;H/1150;;;;Allotjaments;;Hotel;160;312;Cala Millor;3.3828818765903415;39.59801962149625
SON SERVERA;GRUPO HOTELES PLAYA SA (A04108973);Alta;4 estrelles;CALEIA TALAYOT SPA HOTEL;4383983.9465;Carrer SON SARD,, 2. 07560 Cala Millor, SON SERVERA, Mallorca;533297.931272;01/04/1964;H/1151;;;;Allotjaments;;Hotel;114;214;Cala Millor;3.3878631653027376;39.60495060491236
CALVIÀ;HOTEL LUNA PARK, SL (B07042823);Alta;4 estrelles;COMODORO PLAYA;4373686.18658;Carrer CALA BLANCA, 9. 07181 Palmanova, CALVIÀ, Mallorca;460417.206888;01/01/1964;H/1154;;;;Allotjaments;;Hotel;88;161;Palmanova;2.5395450565625772;39.51189829956449
CALVIÀ;BEACH ROSTORRE S.L (B07220791);Alta;4 estrelles;Alua Hawaii Mallorca & Suites I;4373728.66637;URBANITZACIÓ TORRENOVA, 1. 07181 Palmanova, CALVIÀ, Mallorca;460608.067921;03/06/1964;H/1157;;;;Allotjaments;;Hotel;230;448;Palmanova;2.541762705339101;39.51228982614376
FELANITX;SOCIEDAD DE EXPLOTACION TURÍSTICA PIERRE & VACANCES ESPAÑA, SL (B84078419);Alta;4 estrelles;HOTEL VISTAMAR BY PIERRE & VACANCES;4362801.16494;GERMANS PINZON, S/N. 07670 Portocolom, FELANITX, Mallorca;522545.732368;09/03/1965;H/1165;;;;Allotjaments;;Hotel;148;287;Portocolom;3.261902651780611;39.41443434642929
CAPDEPERA;COMPAÑIA HOTELERA MALLORQUINO SUIZA SA (A07010879);Alta;4 estrelles;LAGUNA;4394218.80233;Carrer COSTA I LLOBERA, S/N. 07589 Canyamel, CAPDEPERA, Mallorca;536639.913567;18/08/1964;H/1170;;;;Allotjaments;;Hotel;118;225;Canyamel;3.4273579135649506;39.69703116581444
PALMA;Clot Hotels SL (B16629958);Alta;3 estrelles;NURA CONDOR;4374810.52004;Carrer MAR JONICO, 9. 07610 Platja De Palma, PALMA, Mallorca;477994.966645;01/01/1960;H/1180;;;;Allotjaments;;Hotel;69;121;Platja De Palma;2.743982078314061;39.52265909443831
SANTANYÍ;RYH La Marina, S.L. (B56978190);Alta;;LA MARINA;4353461.10868;Carrer VERGE DEL CARME, 64. 07659 Cala Figuera, SANTANYÍ, Mallorca;514717.724929;30/07/1970;H/1189;;;;Allotjaments;;Casa dhostes;10;22;Cala Figuera;3.170763898240845;39.33044271067547
SES SALINES;Colonial 1948, S.L. (B44650802);Alta;3 estrelles Superior;Boutique Hotel Colonial;4351759.02014;Carrer GABRIEL ROCA, 9. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca;499577.773119;24/04/1962;H/1195;;;;Allotjaments;;Hotel;10;18;Colònia De Sant Jordi;2.995102129349793;39.31523058759333
SANTANYÍ;IKOS PORTO PETRO, S.A.  (sociedad unipersonal) (A57113136);Alta;5 estrelles Gran Luxe;IKOS PORTO PETRO;4356672.37068;Camí DES FAR, 12. 07691 Portopetro, SANTANYÍ, Mallorca;518072.818308;25/06/1964;H/1225;;;;Allotjaments;;Hotel;319;759;Portopetro;3.2097779747852604;39.35931501196794
CALVIÀ;CUPIDOR SL (B07653017);Alta;3 estrelles;CUPIDOR;4376671.28708;CAPDELLA, 4. 07160 Peguera, CALVIÀ, Mallorca;453032.695682;01/07/1964;H/1229;;;;Allotjaments;;Hotel;25;46;Peguera;2.453435784583672;39.53842250187246
PALMA;BROHER SLU (B07021496);Alta;3 estrelles;VENUS PLAYA;;Carrer VILLAGARCIA DE AROSA, 24. 07610 Platja De Palma, PALMA, Mallorca;;01/01/1965;H/1238;;;;Allotjaments;;Hotel;83;131;Platja De Palma;;
PALMA;RESORTS MALLORCA HOTELS INTERNATIONAL, SL (B07993991);Alta;4 estrelles;SUNPRIME WATERFRONT;4376308.93684;Carrer DELS PINS, 15. 07610 Can Pastilla, PALMA, Mallorca;475327.746958;03/04/1965;H/1239;;;;Allotjaments;;Hotel;191;350;Can Pastilla;2.7128950124251356;39.536087981174425
PALMA;XEMA SA (A07101256);Alta;4 estrelles;BQ AMFORA BEACH;4376402.18654;VOLANTI, 9. 07610 Can Pastilla, PALMA, Mallorca;475478.31583;01/01/1965;H/1240;;;;Allotjaments;;Hotel;126;241;Can Pastilla;2.714643684948615;39.5369325138109
SANTANYÍ;MAR ORIENTAL SL (B07258627);Alta;3 estrelles;ROCADOR;4358216.12842;MARQUES DE COMILLAS, 3, S/N. 07660 Cala DOr, SANTANYÍ, Mallorca;519903.306275;22/04/1965;H/1245;;;;Allotjaments;;Hotel;106;184;Cala DOr;3.231070816839332;39.37318513639915
LLUCMAJOR;HOTEL BONAVIDA, SL (B07024649);Alta;3 estrelles;REINA DEL MAR;;Carrer MARIA ANTONIA SALVA, S/N. 07600 Arenal (L), LLUCMAJOR, Mallorca;;23/04/1965;H/1249;;;;Allotjaments;;Hotel;180;342;Arenal (L);;
SANTANYÍ;HOSTAL MISTRAL CALA DOR, C.B. (E16576605);Alta;2 estrelles;BOUTIQUE HOSTAL MISTRAL;4358376.75681;Carrer BOULEVARD, 13. 07660 Cala DOr, SANTANYÍ, Mallorca;519803.691001;28/04/1965;H/1250;;;;Allotjaments;;Hostal residència;12;27;Cala DOr;3.2299190723787263;39.37463480204353
CAPDEPERA;THE SEA CLUB CALA RATJADA, SL (B16516106);Alta;3 estrelles;The Sea Club;4395829.55427;Avinguda DAMÈRICA, 29. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;21/04/1965;H/1252;;;;Allotjaments;;Hotel;17;34;Cala Rajada;3.459837694366632;39.71142029804171
SANT LLORENÇ DES CARDASSAR;HOTELS & RESORTS BLUE SEA MANAGEMENT, SL (B57817215);Alta;3 estrelles;BLUE SEA CALA MILLOR-II;4383312.11862;Carrer CARAVEL·LES, 11. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;532940.499363;23/04/1965;H/1255;;;;Allotjaments;;Hotel;78;152;Cala Millor;3.3836663877963438;39.59891111145175
PALMA;POINT SOUTH HOTELS SL (B07823636);Alta;4 estrelles;Sauló by Puro;4376064.65802;Avinguda BARTOMEU RIUTORT, 51. 07610 Can Pastilla, PALMA, Mallorca;476148.730838;01/04/1965;H/1256;;;;Allotjaments;;Hotel;39;66;Can Pastilla;2.722457259566751;39.533910129846745
PALMA;HOTEL MARINA ARENAL SA (A07212160);Alta;3 estrelles;MARINA PLAYA DE PALMA;4373107.19228;Carrer CIUTAT DE TOKIO, 2. 07600 Platja De Palma, PALMA, Mallorca;478644.450843;01/05/1965;H/1258;;;;Allotjaments;;Hotel;52;99;Platja De Palma;2.751593113429355;39.50732770096676
PALMA;HOTELES ORME SL (B57923211);Alta;3 estrelles;TEIDE;4373191.23807;Carrer BARTOMEU CALAFELL, 7. 07600 Platja De Palma, PALMA, Mallorca;478779.93134;01/01/1966;H/1264;;;;Allotjaments;;Hotel;69;139;Platja De Palma;2.7531663239855537;39.508088350694834
SANTANYÍ;INNER HOTELS SL (B16616997);Alta;3 estrelles Superior;RUPIT;4358559.27082;Carrer BIENVENIDOS 12-14, 12. 07660 Cala DOr, SANTANYÍ, Mallorca;519703.137536;12/05/1965;H/1266;;;;Allotjaments;;Hotel;35;68;Cala DOr;3.2287570315141156;39.376281682274985
SANT LLORENÇ DES CARDASSAR;Toque del Mar, SL (B16617094);Alta;;AMENA MAR;4379954.9411;Carrer NEPTÚ, 6. 07687 Illot (L), SANT LLORENÇ DES CARDASSAR, Mallorca;532121.952764;06/05/1965;H/1272;;;;Allotjaments;;Casa dhostes;18;48;Illot (L);3.3739701343327675;39.56869316271008
SON SERVERA;ILUSION HOTELS ILLES, SL (B57960163);Alta;3 estrelles;Hotel Ilusion Vista Blava;4383853.78092;Carrer SES PLANES, 8. 07560 Cala Millor, SON SERVERA, Mallorca;532865.839054;01/01/1966;H/1275;;;;Allotjaments;;Hotel;125;240;Cala Millor;3.3828236883376888;39.60379447720907
CAPDEPERA;EXPLOTACIONES HOTELERAS GAMUNDI,SL (B57460354);Alta;4 estrelles;BAVIERA;4395829.55427;Carrer XUCLAMEL, 22. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;06/05/1965;H/1280;;;0;Allotjaments;;Hotel;56;101;Cala Rajada;3.459837694366632;39.71142029804171
PALMA;VINART HOTELS, SL (B57370561);Alta;3 estrelles;ZURBARAN;4379479.2313;Carrer JOSEP VILLALONGA, 16. 07014 PALMA, Mallorca;467736.73385;01/01/1960;H/129;;;;Allotjaments;;Hotel;40;80;Palma;2.6244078258097794;39.56440157673017
SANT LLORENÇ DES CARDASSAR;EXPLOTACIONS MESPO, SL (B57703142);Alta;3 estrelles;LA SANTAMARIA PLAYA;4383020.10735;LLUM, 16. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;532634.594993;01/01/1965;H/1292;;;;Allotjaments;;Hotel;122;239;Cala Millor;3.380089134612876;39.596291732468096
PALMA;;Alta;4 estrelles;GOLDEN PLAYA;4375491.09899;MARBELLA,14-LAS MARAVILLAS, S/N. 07610 Platja De Palma, PALMA, Mallorca;476976.955453;02/06/1965;H/1297;;Disposició Transitòria Decret Llei 3/2014, de 5 de desembre;4249;Allotjaments;;Hotel;122;238;Platja De Palma;2.732114567887025;39.528764725094106
PALMA;Prestigio Mallorca, S.L. (B56354699);Alta;1 estrella;HOSTAL LEVEL;4372994.03412;Carrer AMILCAR, 5. 07600 Platja De Palma, PALMA, Mallorca;478747.936286;02/06/1965;H/1301;;;;Allotjaments;;Hostal;30;60;Platja De Palma;2.752800454127329;39.50631065650578
SANT LLORENÇ DES CARDASSAR;BEDS & ROOMS PLAYAMAR S.L. (B57851909);Baixa temporal;;DORADO;4385136.27426;Carrer GREGAL (CALA MOREIA), 3. 07687 Illot (L), SANT LLORENÇ DES CARDASSAR, Mallorca;524762.183362;09/07/1965;H/1306;;;;Allotjaments;;Casa dhostes;10;20;Illot (L);3.2884809771700825;39.61562278365187
PALMA;MALLORCAMED, S.L. (B16531485);Alta;1 estrella;BONANY;4379934.10554;Carrer ALMIRALL CERVERA, 5. 07014 PALMA, Mallorca;467876.051502;15/05/1965;H/1311;;;;Allotjaments;;Hostal residència;29;55;Palma;2.6260076399999845;39.56850535366363
PALMA;MLL BEST HOTELS MANAGEMENTS, S.L.U. (B07734171);Alta;3 estrelles;NUBIA BAY;4373197.43593;CANONGE MATEU ROTGER, 23. 07600 PALMA, Mallorca;478897.722144;21/06/1965;H/1319;;;;Allotjaments;;Hotel;37;64;Platja De Palma;2.754536268495008;39.50814709725256
CALVIÀ;MIMAGO SL (B07622368);Alta;3 estrelles;MORLANS GARDEN 2;4376550.5512;Carrer GAVINES, 9. Peguera, CALVIÀ, Mallorca;453273.430414;01/01/1965;H/1320;;;;Allotjaments;;Hotel;27;51;Peguera;2.4562456133527664;39.53734779624491
LLUCMAJOR;MLL BEST HOTELS MANAGEMENTS, S.L.U. (B07734171);Alta;3 estrelles;CARIBBEAN BAY;4372455.10328;Carrer TRENCADORS, 48. 07600 Arenal (L), LLUCMAJOR, Mallorca;478802.361298;15/07/1965;H/1324;;;;Allotjaments;;Hotel;229;437;Arenal (L);2.7534506684940854;39.501455968893886
CALVIÀ;4U Hotels SL (B16641094);Alta;3 estrelles;4U Miranda;4374133.47095;Via PUIG BLANCH, 12. 07180 Santa Ponça, CALVIÀ, Mallorca;455817.568945;21/06/1965;H/1325;;;;Allotjaments;;Hotel;35;62;Santa Ponça;2.4860110431462186;39.515704196672324
PALMA;SATURNO HOTELS SL (B07873193);Alta;4 estrelles Superior;OBELISCO;4374540.11973;DE LAS MARAVILLAS, CANTÓ AMB CARRER CANYES, S/N. 07600 PALMA, Mallorca;478395.805363;01/01/1965;H/1327;;;;Allotjaments;;Hotel;192;336;Platja De Palma;2.7486543828135632;39.52023283977622
SON SERVERA;CALA BONA SA (A07033673);Alta;2 estrelles;CALA AZUL;4385117.81678;ENGINYER ANTONI GARAU ROCA, 17. 07559 Cala Bona, SON SERVERA, Mallorca;533645.085955;01/01/1968;H/1328;;;;Allotjaments;;Hostal residència;36;63;Cala Bona;3.391964432867433;39.61515343261232
ALCÚDIA;EDIFICACIONES LA TORRETA SL (B07021827);Alta;4 estrelles;EIX ALCUDIA HOTEL;4410337.59676;TEODOR CANET, 43. 07410 ALCÚDIA, Mallorca;511474.252842;25/06/1965;H/1329;;;;Allotjaments;;Hotel;210;404;Port DAlcúdia;3.134115644402713;39.84297298679203
ALCÚDIA;EXPLOTACIONES PLAYAS MORE SL (B07265259);Alta;3 estrelles;MORE;4412601.3802;TIRANT LO BLANC, 8. 07400 ALCÚDIA, Mallorca;510533.656061;01/01/1965;H/1333;;;;Allotjaments;;Hotel;140;267;Alcúdia;3.1231580464833573;39.863381889004174
FELANITX;EXPLOTACIONES ROIG SL (B07991375);Alta;1 estrella;SAN FRANCISCO;4362813.36476;ORADA, 3. 07670 Portocolom, FELANITX, Mallorca;522342.159997;02/06/1965;H/1336;;;;Allotjaments;;Hostal residència;24;43;Portocolom;3.259538282395953;39.41454957409103
CALVIÀ;Donna Hotel Portals, S.L. (B56711252);Alta;5 estrelles;THE DONNA PORTALS;4376082.45788;Carrer FALCONER, 19. 07015 Portals Nous, CALVIÀ, Mallorca;463499.415596;12/07/1965;H/1338;;;;Allotjaments;;Hotel;66;150;Portals Nous;2.575267016928603;39.53362589122282
ARTÀ;PETIT HOTEL ROCAMAR, SL (B16566697);Alta;1 estrella;Petit Rocamar;4398690.37567;Carrer SANT MATEU, 9 lletra A. 07579 Colònia De Sant Pere, ARTÀ, Mallorca;523887.231067;31/03/1965;H/1341;;;;Allotjaments;;Hostal;8;15;Colònia De Sant Pere;3.2787783722139587;39.73777280895542
CAPDEPERA;ESTEVA LLITERAS S.L. (B16500480);Alta;1 estrella;ENCARNA LLITERAS;4395829.55427;Carrer REYES CATÓLICOS, 21. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;21/06/1965;H/1346;;;;Allotjaments;;Hotel;27;49;Cala Rajada;3.459837694366632;39.71142029804171
CAPDEPERA;ESTEVA LLITERAS S.L. (B16500480);Alta;1 estrella;LLITERAS;4395829.55427;REIS CATOLICS, 26. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;18/06/1965;H/1354;;;;Allotjaments;;Hotel;35;67;Cala Rajada;3.459837694366632;39.71142029804171
LLUCMAJOR;VINCE HOTEL, CB (E57807877);Alta;1 estrella;FAMOUS;4372554.23471;Carrer SAN CRISTOBAL, 38. 07620 Arenal (L), LLUCMAJOR, Mallorca;478871.744965;27/08/1965;H/1372;;;;Allotjaments;;Hostal;34;56;Arenal (L);2.754254515925678;39.50235090063534
SÓLLER;Margarita Jofre Trias;Alta;;CASA MARGARITA TRIAS;4401733.95289;Carrer REIAL, 3. 07100 SÓLLER, Mallorca;475650.860236;11/06/1965;H/1378;;;;Allotjaments;;Casa dhostes;7;15;Sóller;2.7157182392208274;39.765182609878906
SANT LLORENÇ DES CARDASSAR;HOTEL PLAYA DEL MORO SA (A07008543);Alta;4 estrelles;SENTIDO CASTELL DE MAR;;Carrer BONANÇA, S/N. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;;25/09/1965;H/1380;;;;Allotjaments;;Hotel;230;433;Cala Millor;;
SON SERVERA;ILUSION HOTELS ILLES, SL (B57960163);Alta;4 estrelles;HOTEL ILUSION MOREYO;;MARITIMO, 8. 07559 Cala Bona, SON SERVERA, Mallorca;;01/01/1965;H/1381;;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;3871;Allotjaments;;Hotel;82;164;Cala Bona;;
MANACOR;AROCIC INVESTMENTS SL (B88024302);Alta;4 estrelles;HOTEL VALPARAISO BY PETIT PALACE;4367336.65094;Carrer ARAGO, 28. 07688 Cala Murada, MANACOR, Mallorca;523971.53081;01/01/1966;H/1393;;;0;Allotjaments;;Hotel;52;100;Cala Murada;3.2786280171856057;39.455263221649794
SANTANYÍ;ESENA DE MARINA SL (B07818693);Alta;1 estrella;IROCO HOSTAL;4358458.14922;BOULEVARD, 29. 07660 Cala DOr, SANTANYÍ, Mallorca;519766.16779;27/07/1965;H/1407;;;;Allotjaments;;Hostal;22;42;Cala DOr;3.229485835611485;39.37536906480795
PALMA;MARIA PUJADAS ALZINA;Alta;;CENTRAL;4380119.98995;Carrer TRAVESSA DEN BALLESTER, 12. 07002 PALMA, Mallorca;470334.003453;01/01/1942;H/142;;;;Allotjaments;;Casa dhostes;21;36;Palma;2.6546147077361852;39.57026879378394
CALVIÀ;MIMAGO SL (B07622368);Alta;3 estrelles;MORLANS GARDEN 3;4376466.7895;DE PAGUERA, 69. 07160 Peguera, CALVIÀ, Mallorca;453288.226066;01/01/1966;H/1426;;;;Allotjaments;;Hotel;32;64;Peguera;2.4564236688641055;39.53659389876171
CALVIÀ;ALLTOURS ESPAÑA SL (B35379841);Alta;3 estrelles;Allsun Hotel Paguera Vera Beach;4376772.30524;Carrer PALMIRA, 10. 07160 Peguera, CALVIÀ, Mallorca;452781.799615;01/01/1966;H/1427;;;0;Allotjaments;;Hotel;92;176;Peguera;2.4505090252589334;39.5393189211182
CALVIÀ;MIMAGO SL (B07622368);Alta;3 estrelles;Morlans Garden 5;;GAVINES,10, S/N. 07160 Peguera, CALVIÀ, Mallorca;;01/01/1966;H/1428;;;0;Allotjaments;;Hotel;42;80;Peguera;;
SANTA MARGALIDA;CUZCO RESORT SL (B07745672);Alta;3 estrelles;JS HOTEL SOL DE CAN PICAFORT;4401869.42428;Passeig COLON, 88. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;513153.8722;01/01/1966;H/1434;;;;Allotjaments;;Hotel;54;102;Can Picafort;3.153577800028471;39.76664976382743
SANTA MARGALIDA;GALAXIA TURISTICA SL (B07615412);Alta;1 estrella;GALAXIA;4401875.41694;COLON, 91. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;513131.966388;04/04/1966;H/1435;;;;Allotjaments;;Hotel;59;117;Can Picafort;3.153322159738303;39.76670409663035
PALMA;RIUSA II SA (A07632474);Alta;4 estrelles;RIU PLAYA PARK;4374343.72318;Carrer PARE BARTOMEU SALVA, 15. 07610 Platja De Palma, PALMA, Mallorca;478387.245538;14/04/1966;H/1439;;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;0;Allotjaments;;Hotel;475;950;Platja De Palma;2.7485611783885795;39.51846300031219
CAPDEPERA;BARTOLOME GILI SOLER;Alta;1 estrella;VISTA SOL;4395829.55427;MESTRE VICENS NADAL, 65. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;01/01/1968;H/1445;;;0;Allotjaments;;Hotel;41;79;Cala Rajada;3.459837694366632;39.71142029804171
CALVIÀ;SIDEHOTELES SL (B57512642);Alta;4 estrelles;BQ PAGUERA BOUTIQUE HOTEL;4376853.54709;Carrer PALMIRA, 29. 07160 Peguera, CALVIÀ, Mallorca;452747.776068;10/05/1966;H/1451;;1;2004;Allotjaments;;Hotel;80;160;Peguera;2.450107324758214;39.54004904625701
CALVIÀ;VITUR 2015, S.L. (E57928723);Alta;3 estrelles;CRETA;4376587.60412;EUCALIPTUS, 2. 07160 Peguera, CALVIÀ, Mallorca;452651.928102;01/01/1966;H/1452;;;;Allotjaments;;Hotel;15;27;Peguera;2.4490108991128636;39.53764759058532
SANTA MARGALIDA;HOTEL AMAPOLA, SL (B07027139);Alta;4 estrelles;THE SEA HOTEL;;PERE ALCÀNTARA PENYA, 2;;01/05/1966;H/1454;;;;Allotjaments;;Hotel;163;321;Can Picafort;;
POLLENÇA;BELLAUBA HOTELES Y APARTAMENTOS SL (B07998677);Alta;3 estrelles;ROMANTIC;4416450.60857;Passeig LONDRES, 46. 07470 Port De Pollença, POLLENÇA, Mallorca;506740.221711;19/04/1966;H/1455;;;;Allotjaments;;Hotel;78;152;Port De Pollença;3.0788454985550087;39.89810197153649
SANTA MARGALIDA;LAUMAE GARRIDO, SL (B16573651);Alta;2 estrelles;VENT I MAR;4402001.229125;Avinguda JOSEP TRIAS, 1. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;512724.2052645;15/11/1966;H/1456;;;;Allotjaments;;Hotel;16;43;Can Picafort;3.14856379995278;39.76784387265098
MANACOR;RESA PLUS, S.L. (B57389694);Alta;4 estrelles;HOTEL ANKAA;;Carrer DE LES COVES S/N, sn. 07680 Portocristo, MANACOR, Mallorca;;16/05/1966;H/1461;;Regularització de places que finalment sha dautoritzar;0;Allotjaments;;Hotel;127;236;Portocristo;;
SANTANYÍ;ANTARESDOR SL (B57943763);Alta;1 estrella;ANTARES;4358458.14922;Carrer BOULEVARD  DOR, 23. 07660 Cala DOr, SANTANYÍ, Mallorca;519766.16779;15/05/1966;H/1462;;;;Allotjaments;;Hotel;40;76;Cala DOr;3.229485835611485;39.37536906480795
