Municipi;Explotador/s;Estat;Categoria;Denominació comercial;UTM(Y);Direcció;UTM (X);Inici d'activitat;Signatura;Hotel de ciutat;Excepcions ratio turístic;Superfície;Subgrup;Memoria descriptiva;Grup;Unitats;Places;Localitat;longitude;latitude
PALMA;EXPLOTACIONES RIUBI SL (B07026776);Alta;3 estrelles;RIUTORT;4373168.53661;Carrer BARTOMEU CALAFELL, 13. 07600 Arenal (L), PALMA, Mallorca;478828.31545;15/05/1962;H/727;;;;Allotjaments;;Hotel;195;370;Arenal (L);2.7537298493368088;39.50788499302421
PALMA;Mayol Amengual de Can Pastilla SL (B16672867);Alta;3 estrelles;BALEAR;4376345.48994;Avinguda BARTOMEU RIUTORT, 18. 07610 Can Pastilla, PALMA, Mallorca;475703.768361;01/01/1962;H/74;;;;Allotjaments;;Hotel;54;110;Can Pastilla;2.7172692952175055;39.53642806482175
CALVIÀ;HOTEL BONSOL SA (A07118367);Alta;4 estrelles Superior;BONSOL;4376837.69944;Passeig D ILLETAS, 30. 07181 Cas Català-Illetes, CALVIÀ, Mallorca;464996.676983;01/06/1953;H/742;;;;Allotjaments;;Hotel;93;182;Cas Català-Illetes;2.5926494544755094;39.540493193872024
PALMA;HOTELES MALLORQUINES UNIDOS, SA (A07070667);Alta;4 estrelles;INNSIDE PALMA CENTER;4380911.03396;Carrer FONT I MONTEROS, 23. 07003 PALMA, Mallorca;469956.720696;01/01/1962;H/759;Sí;;;Allotjaments;;Hotel;101;202;Palma;2.6501864615777895;39.57738319912904
CALVIÀ;PAPEC SA (A07046089);Alta;3 estrelles;TORA;;GALATZO, 3. 07160 Peguera, CALVIÀ, Mallorca;;30/06/1961;H/766;;;;Allotjaments;;Hotel;81;161;Peguera;;
PALMA;PRO EIRENES, SLU (B65204901);Alta;4 estrelles;EUROSTARS MARIVENT;4378162.68706;Carrer DINA MOORE, 6. 07015 Marivent, PALMA, Mallorca;466586.321209;01/08/1962;H/769;;;;Allotjaments;;Hotel;93;176;Marivent;2.6110818602910215;39.552495088953144
SÓLLER;BRONDO 4 LIFESTYLE MALLORCA, SL (B57747131);Alta;1 estrella;Sol Port Sóller;4402819.2752;Carretera DEL PORT DE SOLLER, 44. 07108 Port (El), SÓLLER, Mallorca;474848.879044;22/04/1955;H/770;;;0;Allotjaments;;Hostal;9;18;Port (El);2.706313490267097;39.77493809961247
SON SERVERA;CALA BONA SA (A07033673);Alta;4 estrelles;CALA BONA;;ING. ANTONIO GARAU, 7. 07559 Cala Bona, SON SERVERA, Mallorca;;21/09/1954;H/771;;;;Allotjaments;;Hotel;108;215;Cala Bona;;
PALMA;INDUSTRIAS HOTELERAS CORA SA (A07046030);Alta;4 estrelles;JS PALMA STAY;4376284.65095;PINS, 26. 07610 Can Pastilla, PALMA, Mallorca;475289.293137;01/01/1962;H/776;;;;Allotjaments;;Hotel;242;464;Can Pastilla;2.7124484428351723;39.535868049226806
PALMA;INVESTMENTS & WHOLE SERVICES, SL (B57701898);Alta;4 estrelles;HM ALMA BEACH;;Carrer BELLAMAR, 7. 07610 Can Pastilla, PALMA, Mallorca;;12/06/1956;H/780;;Disposició Transitòria Decret Llei 3/2014, de 5 de desembre;0;Allotjaments;;Hotel;149;290;Can Pastilla;;
PALMA;MLL BEST HOTELS MANAGEMENTS, S.L.U. (B07734171);Alta;3 estrelles;RIO BAY;4373110.58276;Carretera MILITAR, 247. 07600 Platja De Palma, PALMA, Mallorca;478881.417634;01/01/1963;H/782;;;;Allotjaments;;Hotel;177;330;Platja De Palma;2.7543493701188027;39.50736410738281
PALMA;RESIDENCE JASMIN INVESTMENTS, SL (B16555864);Baixa temporal;1 estrella;TIVOLI;;LISBOA, S/N. 07600 Platja De Palma, PALMA, Mallorca;;06/05/1960;H/788;;;;Allotjaments;;Hostal;55;102;Platja De Palma;;
CALVIÀ;OLIVIA HOTELS SA (A58768151);Alta;4 estrelles;RIU BONANZA PARK;4376851.64766;D ILLETES, 23. 07181 Cas Català-Illetes, CALVIÀ, Mallorca;465041.090218;06/07/1965;H/789;;;;Allotjaments;;Hotel;138;263;Cas Català-Illetes;2.59316556670955;39.54062068152461
CALVIÀ;Balaguerholidays, S.L. (B56626153);Alta;3 estrelles;CASABLANCA;4373862.1223;REI SANCHO, 6. 07180 Santa Ponça, CALVIÀ, Mallorca;455516.084044;01/08/1958;H/791;;;;Allotjaments;;Hotel;86;165;Santa Ponça;2.482522042596149;39.513243734821486
CALVIÀ;SANS GAYA HERMANOS SL (B07614373);Alta;3 estrelles;FLOR LOS ALMENDROS;4376517.74658;PAGUERA, 36. 07160 Peguera, CALVIÀ, Mallorca;452501.296945;01/06/1968;H/793;;;;Allotjaments;;Hotel;68;120;Peguera;2.447263074341108;39.53700984499634
CALVIÀ;EAST WEST BALEARES, SL (B57627135);Alta;1 estrella;ZHERO;4377171.09103;PALMA-ANDRATX, KM.6, S/N. 07181 Cas Català-Illetes, CALVIÀ, Mallorca;464923.423423;08/08/1955;H/794;;;;Allotjaments;;Hotel;39;75;Cas Català-Illetes;2.591779389113602;39.54349415715202
SON SERVERA;HOTEL VORAMAR SL (B07071574);Alta;3 estrelles;VORAMAR;4383642.43677;BINICANELLA, 2. 07560 Cala Millor, SON SERVERA, Mallorca;533087.189713;01/01/1961;H/797;;;;Allotjaments;;Hotel;68;129;Cala Millor;3.385391386930413;39.601881696938904
SON SERVERA;SON LLUC SA (A07086515);Alta;4 estrelles;GRAN SOL;4383794.34929;MARITIMO, 4. 07559 Cala Bona, SON SERVERA, Mallorca;533156.596648;19/07/1962;H/798;;;;Allotjaments;;Hotel;58;109;Cala Bona;3.3862074074443265;39.60324777740828
POLLENÇA;HOTEL CALA EN BLANES SA (A07269046);Alta;4 estrelles;UYAL;4416428.80079;Passeig DE LONDRES, S/N. 07470 Port De Pollença, POLLENÇA, Mallorca;506745.531807;01/01/1953;H/805;;;;Allotjaments;;Hotel;116;219;Port De Pollença;3.07890738938224;39.89790544220827
SANTANYÍ;APARTAMENTOS CALA SANTANYI SA (A07070956);Alta;4 estrelles;CALA SANTANYI;4353486.64;Carrer SA COSTA DELS ETICS, S/N. 07659 Cala Santanyí, SANTANYÍ, Mallorca;512636.21;01/01/1969;H/808;;;;Allotjaments;;Hotel;24;46;Cala Santanyí;3.146613470412924;39.33070569278587
SANTANYÍ;HOSTAL PLAYA CB (E07093065);Alta;1 estrella;HOSTAL PLAYA CALA SANTANYÍ;4353500.02764;SA COVA DES DRAC, S/N, S/N. 07659 Cala Santanyí, SANTANYÍ, Mallorca;512643.671446;14/08/1962;H/811;;;;Allotjaments;;Hostal;9;21;Cala Santanyí;3.146700294731968;39.33082621725635
PALMA;RIUSA II SA (A07632474);Alta;4 estrelles;RIU SAN FRANCISCO;4374177.12124;LLAÜT, 24. 07600 PALMA, Mallorca;478123.460382;04/05/1974;H/814;;;;Allotjaments;;Hotel;165;314;Platja De Palma;2.745497856762464;39.51695516161381
POLLENÇA;AMLA EXPLOTACIONES TURISTICAS, SA (A83791558);Alta;3 estrelles;GLOBALES SIMAR;4418611.03213;Carrer TEMPORAL, S/N, S/N. 07469 Cala Sant Vicenç, POLLENÇA, Mallorca;504536.716579;01/01/1960;H/818;;;;Allotjaments;;Hotel;121;233;Cala Sant Vicenç;3.0530844581898933;39.91758192373865
SÓLLER;;Alta;4 estrelles;PURE SALT PORT DE SOLLER;;Camí DEL FAR, 5. 07108 Port (El), SÓLLER, Mallorca;;01/01/1952;H/820;;;;Allotjaments;;Hotel;90;162;Port (El);;
CALVIÀ;FERGUSMED S.L. (B57813602);Alta;4 estrelles;FERGUS STYLE PALMANOVA;4375053.80907;Passeig DEL MAR, 14. 07181 Palmanova, CALVIÀ, Mallorca;460389.054062;01/05/1959;H/823;;;;Allotjaments;;Hotel;93;177;Palmanova;2.5391361457427477;39.52421963792449
PALMA;HOTEL COSTA AZUL SA (A07011216);Alta;4 estrelles;COSTA AZUL;4379951.37619;GABRIEL ROCA, 7. 07014 PALMA, Mallorca;468400.026153;17/10/1955;H/827;;;;Allotjaments;;Hotel;126;253;Palma;2.632106898753928;39.56868043776452
CALVIÀ;MIMAGO SL (B07622368);Alta;3 estrelles;MORLANS GARDEN;4376537.94544;GAVIOTAS, 6. 07160 Peguera, CALVIÀ, Mallorca;453275.573312;08/05/1962;H/831;;;;Allotjaments;;Hotel;54;101;Peguera;2.4562714352457085;39.53723433352151
CALVIÀ;NEP SL (B07678527);Alta;3 estrelles;VENECIA;4376620.73031;ROSAL, 8. 07160 Peguera, CALVIÀ, Mallorca;452529.139004;01/01/1963;H/834;;;;Allotjaments;;Hotel;51;95;Peguera;2.447579699708298;39.5379392792001
CALVIÀ;HOTEL FLAMBOYAN S.L (B10522001);Alta;4 estrelles;FLAMBOYAN;4373502.18771;Carrer MARTIN ROS GARCIA, 16. 07182 Magaluf, CALVIÀ, Mallorca;460481.876843;08/04/1963;H/835;;;;Allotjaments;;Hotel;130;249;Magaluf;2.5403082459997877;39.51024339642793
PALMA;Vicobo SA (A07008519);Alta;4 estrelles Superior;SARATOGA;4380294.55292;Passeig MALLORCA, 6. 07012 PALMA, Mallorca;469275.767209;08/05/1962;H/837;;;;Allotjaments;;Hotel;187;348;Palma;2.6422863690978584;39.571804389129724
